city,state,date,shape,city_latitude,city_longitude
Chester,VA,12/12/2019,light,37.34315152,-77.40858182
Rocky Hill,CT,3/22/2019,circle,41.6648,-72.6393
Ottawa,ON,4/17/2019,teardrop,45.3813825,-75.70850071
Kirbyville,TX,4/2/2019,disk,30.6772,-94.0052
Tucson,AZ,5/1/2019,unknown,32.25994076,-110.9275423
Gold Canyon,AZ,4/10/2019,circle,33.3715,-111.4369
Brookville,IN,6/18/2019,sphere,39.4047,-84.9736
Melbourne Beach,FL,6/12/2019,unknown,27.9668,-80.5096
Carrizozo,NM,6/11/2019,changing,33.7849,-105.8332
Yuba City,CA,8/17/2019,formation,39.05981142,-121.6682562
Abilene,TX,8/14/2019,light,32.39435138,-99.790044
Santa Barbara,CA,8/6/2019,flash,34.3170381,-119.7205414
Charlestown,RI,8/5/2019,chevron,41.396,-71.6631
Springfield,TN,8/3/2019,disk,36.5086,-86.8563
Maitland,FL,7/29/2019,other,28.62938584,-81.36191062
Kevil,KY,3/15/2019,circle,37.0812,-88.9091
Spring Hill,FL,2/17/2019,other,28.46920906,-82.5392425
Lafayette,LA,2/20/2019,disk,30.19079351,-92.04514239
Clementon,NJ,2/22/2019,egg,39.8115,-74.9829
Hamilton,MT,3/7/2019,triangle,46.1612,-114.1401
Niland,CA,3/14/2019,triangle,33.3055,-115.5573
Tucson,AZ,3/14/2019,other,32.25994076,-110.9275423
Vero Beach,FL,3/14/2019,formation,27.65600488,-80.43302385
Port Saint Lucie,FL,3/14/2019,light,27.2856863,-80.36344364
Atlanta,TX,3/14/2019,other,33.127,-94.1992
East Helena,MT,3/15/2019,cone,46.5366,-111.7695
Fresno,CA,3/15/2019,cigar,36.78825093,-119.7894705
Richton Park,IL,3/15/2019,sphere,41.4807,-87.7277
Kissimmee,FL,3/15/2019,fireball,28.25503467,-81.42949196
Jenison,MI,3/15/2019,circle,42.915488,-85.84567467
Fort Lauderdale,FL,3/15/2019,light,26.13691468,-80.21914076
Voorheesville,NY,3/15/2019,disk,42.6213,-73.9721
NEW PRAGUE,MN,3/16/2019,light,44.5411,-93.5902
Green Bay,WI,3/16/2019,flash,44.52863972,-88.04377664
Batavia,IL,3/16/2019,cigar,41.8392,-88.3612
Davenport,IA,3/16/2019,circle,41.55516412,-90.59875989
Frisco,TX,3/16/2019,triangle,33.14455577,-96.81782363
Las Vegas,NV,3/16/2019,unknown,36.14124586,-115.1865919
Independence,MO,3/16/2019,chevron,39.07880845,-94.38608575
Manahawkin,NJ,3/16/2019,triangle,39.7042,-74.2546
Peoria,AZ,3/16/2019,light,33.65789817,-112.246642
Virginia Beach,VA,3/16/2019,circle,36.83730134,-76.06194815
Cranston,RI,3/16/2019,sphere,41.77119239,-71.46207462
Boylston,MA,3/16/2019,diamond,42.3539,-71.7173
Flint,TX,3/16/2019,fireball,32.2259,-95.3883
Atkinson,NH,3/16/2019,other,42.8371,-71.1599
Lawrenceville,IL,3/16/2019,diamond,38.7399,-87.6341
Tigard,OR,3/17/2019,changing,45.4312,-122.7715
Seattle,WA,3/17/2019,oval,47.60904639,-122.3260283
Emmett,ID,3/17/2019,other,43.9865,-116.5246
Ethridge,TN,3/17/2019,changing,35.3292,-87.2717
Carson City,NV,3/17/2019,oval,39.16921421,-119.7517695
Philadelphia,PA,3/18/2019,triangle,39.99063505,-75.14580121
Fontana,CA,3/18/2019,oval,34.12167083,-117.4599851
Port Republic,NJ,3/18/2019,sphere,39.5281,-74.4822
Garden Grove,CA,3/18/2019,sphere,33.77568084,-117.9588831
Palmyra,PA,3/19/2019,unknown,40.2923,-76.5909
Las Vegas,NV,3/18/2019,unknown,36.14124586,-115.1865919
Ocean Springs,MS,3/19/2019,sphere,30.43996197,-88.75735634
Green Valley,AZ,3/19/2019,formation,31.847832,-111.049812
Gilroy,CA,3/19/2019,light,37.0692,-121.5567
San Diego,CA,3/19/2019,triangle,32.78722908,-117.1402677
Gardner,MA,3/19/2019,rectangle,42.5899,-71.9887
Mankato,MN,3/19/2019,triangle,44.14548033,-94.01062092
Newmarket,ON,3/19/2019,chevron,44.05629809,-79.47185496
Hobart,WA,3/19/2019,light,47.4218,-121.9729
Chester Springs,PA,3/20/2019,other,40.1009,-75.641
Vancouver,WA,3/20/2019,fireball,45.65808015,-122.5849084
Turners Falls,MA,3/21/2019,light,42.63392353,-72.50616471
Polacca,AZ,3/2/2019,unknown,35.8479,-110.3696
Lawndale,NC,3/31/2019,disk,35.4647,-81.5762
Philadelphia,PA,4/1/2019,cylinder,39.99063505,-75.14580121
Richland,WA,4/2/2019,triangle,46.31271111,-119.3084604
Panama City Beach,FL,4/30/2019,other,30.28921333,-85.81383667
Laveen,AZ,5/19/2019,disk,33.3054,-112.1997
Hampton,CT,5/28/2019,light,41.7647,-72.0685
Phoenix,AZ,5/29/2019,rectangle,33.53538055,-112.04946
Indian Trail,NC,6/1/2019,cone,35.1137,-80.6083
Pottsville,PA,6/16/2019,circle,40.6895,-76.1958
Hixton,WI,6/20/2019,light,44.4073,-91.0442
Mesick,MI,6/21/2019,oval,44.4122,-85.6971
Danville,IL,6/24/2019,fireball,40.15248,-87.649332
Nesquehoning,PA,6/26/2019,oval,40.8794,-75.8118
Corte Madera,CA,6/27/2019,sphere,37.925684,-122.513884
Kannapolis,NC,6/28/2019,light,35.49536667,-80.63160877
Oak Island,NC,6/30/2019,rectangle,33.9083,-78.0785
York,PA,7/1/2019,oval,39.96327543,-76.71886879
Westport,WA,7/4/2019,other,46.8789,-124.1101
Ocean City,MD,7/5/2019,other,38.33834493,-75.12374058
Stephenville,TX,7/10/2019,other,32.28681351,-98.19515676
Elgin,IL,7/10/2019,formation,42.02871111,-88.29332222
Chicopee,MA,7/11/2019,other,42.1792963,-72.56494815
Salt Lake City,UT,7/15/2019,circle,40.70446486,-111.8821388
Eufaula,OK,7/17/2019,circle,35.3072,-95.7216
Denham Springs,LA,7/19/2019,unknown,30.47846961,-90.90102044
Greenbush,MI,7/20/2019,formation,44.5587,-83.3185
Cornelius,NC,7/20/2019,unknown,35.4699,-80.8801
Arlee,MT,7/20/2019,oval,47.1688,-114.0006
Ann Arbor,MI,7/20/2019,circle,42.28027534,-83.73625456
Bozeman,MT,7/20/2019,sphere,45.70981012,-111.0535749
Rio Rancho,NM,7/21/2019,oval,35.26685241,-106.7217166
Nutley,NJ,7/22/2019,circle,40.8223,-74.1599
Albuquerque,NM,7/22/2019,oval,35.10348122,-106.6124752
Farmington,MO,7/23/2019,unknown,37.7721,-90.3672
Bakersfield,CA,7/23/2019,other,35.34399793,-119.0408926
Sussex,WI,7/23/2019,unknown,43.1488,-88.2451
Moose Jaw,SK,7/23/2019,cigar,50.39298,-105.55558
Loon Lake,WA,7/23/2019,diamond,48.0951,-117.5893
St Louis,MO,7/24/2019,unknown,38.62382493,-90.3085277
Westport,CT,7/24/2019,circle,41.14486792,-73.34294245
Newton,NJ,7/24/2019,sphere,41.0667,-74.8128
Plymouth,CT,7/24/2019,egg,41.6576,-73.047
New York,NY,7/24/2019,flash,40.74430707,-73.98772448
Tukwila,WA,7/24/2019,circle,47.474,-122.261
Happy Valley,OR,7/24/2019,rectangle,45.4468,-122.5304
Round Rock,TX,7/25/2019,disk,30.54018385,-97.66624923
Raleigh,NC,7/25/2019,cigar,35.81800885,-78.64441853
Warwick,RI,7/25/2019,triangle,41.7156845,-71.42906015
Sugar Land,TX,7/25/2019,triangle,29.5843458,-95.63350873
Decatur,TX,7/25/2019,oval,33.2859,-97.5127
Marion,NC,7/25/2019,formation,35.7387,-82.0548
Lancaster,PA,7/25/2019,light,40.0332671,-76.3030232
Delanson,NY,7/25/2019,triangle,42.755,-74.1813
New York,NY,7/25/2019,triangle,40.74430707,-73.98772448
Spokane,WA,7/26/2019,cross,47.68357629,-117.3863311
Saint Francis,SD,7/26/2019,disk,43.1006,-100.988
Port Saint Lucie,FL,7/26/2019,diamond,27.2856863,-80.36344364
Odum,GA,7/26/2019,circle,31.7234,-82.0323
Calgary,AB,7/26/2019,unknown,51.04237871,-114.0574425
Nantucket,MA,7/26/2019,light,41.31434324,-70.01144595
Philipsburg,PA,7/26/2019,triangle,40.8624,-78.1734
Bentonville,AR,7/26/2019,triangle,36.35266857,-94.24044571
Aitkin,MN,7/26/2019,disk,46.5278,-93.6123
Crystal Lake,IL,7/26/2019,circle,42.23814643,-88.30697321
Alexandria,VA,7/26/2019,light,38.79895821,-77.09513265
Poulsbo,WA,7/26/2019,sphere,47.7537,-122.6123
Elk Grove,CA,7/26/2019,rectangle,38.39446942,-121.3718591
Crystal Lake,IL,7/27/2019,light,42.23814643,-88.30697321
Spokane,WA,7/27/2019,light,47.68357629,-117.3863311
North Charleston,SC,7/27/2019,other,32.87719179,-80.02638718
Bonne Terre,MO,7/27/2019,light,37.945,-90.5218
Portland,IN,7/27/2019,light,40.4165,-84.9765
Gurnee,IL,7/27/2019,cigar,42.3738,-87.944
Largo,FL,7/27/2019,light,27.90161729,-82.77851383
Etna,NH,7/27/2019,unknown,43.7039,-72.1966
El Dorado Hills,CA,7/27/2019,light,38.6839,-121.0526
Bridgewater,VT,7/27/2019,circle,43.5676,-72.642
Bellevue,OH,7/27/2019,fireball,41.2446,-82.8459
Levittown,NY,7/27/2019,sphere,40.7228,-73.517
Stigler,OK,7/27/2019,cigar,35.2935,-95.1519
Cedar Lake,IN,7/27/2019,cigar,41.3648,-87.4411
Waianae,HI,7/28/2019,light,21.457,-158.173
Freeport,IL,7/28/2019,light,42.3238,-89.6218
Bayonne,NJ,7/28/2019,teardrop,40.6687,-74.1143
Foster,RI,7/28/2019,sphere,41.7904,-71.6967
Fargo,ND,7/28/2019,light,46.85898941,-96.84602145
Montreal,QC,7/28/2019,sphere,45.51408695,-73.58579955
Destin,FL,7/28/2019,light,30.39798354,-86.4573
Richmond,IN,7/28/2019,light,39.8380098,-84.90525098
Newark,OH,7/28/2019,circle,40.1241,-82.3828
Richmond,VA,7/28/2019,triangle,37.55860754,-77.50798002
Orlando,FL,7/28/2019,oval,28.5192467,-81.35409598
Grass Valley,CA,7/28/2019,other,39.16412531,-121.0234833
Myrtle Beach,SC,7/28/2019,other,33.68315,-78.9395391
Tempe,AZ,7/28/2019,light,33.41403567,-111.9209196
Portland,IN,7/28/2019,light,40.4165,-84.9765
Fort Lee,NJ,7/28/2019,light,40.8483,-73.9725
Rawlins,WY,7/28/2019,light,41.7911,-107.2387
Clinton,TN,7/28/2019,other,36.10330159,-84.20502063
Lake Stevens,WA,7/28/2019,diamond,48.0431,-122.059
Midlothian,VA,7/28/2019,circle,37.47343471,-77.66057112
Kettle Falls,WA,7/28/2019,unknown,48.7409,-118.0956
Corona,CA,7/28/2019,cylinder,33.85916486,-117.5794465
Rio Rancho,NM,7/29/2019,oval,35.26685241,-106.7217166
Puyallup,WA,7/29/2019,light,47.14574064,-122.2924202
Salina,UT,7/29/2019,light,38.9514,-111.8308
Watsonville,CA,7/29/2019,egg,36.95027519,-121.7247421
San Pedro,CA,7/29/2019,unknown,33.73561209,-118.2994093
Palm Desert,CA,7/29/2019,formation,33.73731449,-116.3779536
Orlando,FL,7/29/2019,light,28.5192467,-81.35409598
Charleston,SC,7/29/2019,light,32.80388723,-79.96885661
Crestview,FL,7/29/2019,disk,30.68732909,-86.59313636
Folsom,CA,7/30/2019,triangle,38.67384449,-121.1487568
Southlake,TX,7/30/2019,light,32.9516,-97.1515
Southlake,TX,7/30/2019,fireball,32.9516,-97.1515
Sharon,PA,7/30/2019,light,41.235,-80.4971
Powell River,BC,7/30/2019,formation,50.0163,-124.3226
Washago,ON,7/30/2019,circle,44.75,-79.3333
Middleboro,MA,7/30/2019,triangle,41.88475432,-70.87260617
Newport,TN,7/30/2019,light,35.95076,-83.18667333
Victorville,CA,7/30/2019,sphere,34.52017592,-117.3407393
Climax Springs,MO,7/30/2019,circle,38.1042,-93.0502
Crow Agency,MT,7/30/2019,formation,45.6293,-107.3268
Farmington,ME,7/30/2019,light,44.6536,-70.1149
Folly Beach,SC,7/30/2019,light,32.6552,-79.9404
Isle of Palms,SC,7/30/2019,formation,32.8014,-79.7639
Albuquerque,NM,7/30/2019,light,35.10348122,-106.6124752
Folly Beach,SC,7/30/2019,circle,32.6552,-79.9404
Albuquerque,NM,7/30/2019,flash,35.10348122,-106.6124752
Sicklerville,NJ,7/30/2019,cross,39.7401,-74.9709
Shelby,MI,7/30/2019,oval,43.6101,-86.3495
Fernandina Beach,FL,7/31/2019,disk,30.60200435,-81.52687174
Lakeville,MN,7/31/2019,flash,44.6307,-93.3034
Millbrook,NY,7/31/2019,fireball,41.7912,-73.66
Los Angeles,CA,7/31/2019,other,34.05070709,-118.2799351
Astoria,NY,7/31/2019,cigar,40.76716222,-73.91944063
Chattanooga,TN,7/31/2019,fireball,35.05513711,-85.27057025
Shreveport,LA,7/31/2019,triangle,32.44424292,-93.7688228
Manson,WA,7/31/2019,light,47.9799,-120.1555
Portland,IN,7/31/2019,light,40.4165,-84.9765
Oologah,OK,7/31/2019,other,36.4345,-95.7358
Lakeville,MN,7/31/2019,unknown,44.6307,-93.3034
Los Angeles,CA,8/1/2019,diamond,34.05070709,-118.2799351
New Johnsonville,TN,8/1/2019,fireball,36.0039,-87.9428
Saint Peter,MN,8/1/2019,sphere,44.3341,-94.0617
Great Falls,MT,8/1/2019,light,47.46981803,-111.3317279
South Haven,MI,8/1/2019,circle,42.4231,-86.2187
Decatur,TX,8/1/2019,unknown,33.2859,-97.5127
Pensacola,FL,8/1/2019,triangle,30.46293538,-87.26545409
Ashland,OR,8/1/2019,light,42.1563,-122.5298
Hattieville,AR,8/1/2019,disk,35.3183,-92.766
San Diego,CA,8/1/2019,light,32.78722908,-117.1402677
Dexter,MI,8/1/2019,oval,42.3383,-83.8895
Gouldsboro,PA,8/1/2019,triangle,41.2416,-75.5322
Wayne,NJ,8/1/2019,other,40.94856006,-74.24151141
Midway,FL,8/1/2019,unknown,30.4924,-84.4473
Bar Harbor,ME,8/2/2019,light,44.3761,-68.2757
Boise,ID,8/2/2019,fireball,43.6144452,-116.244678
Holiday,FL,8/2/2019,other,28.19683671,-82.75373291
Williamsport,PA,6/2/2019,sphere,41.38124009,-76.82344057
Saint Paul,MN,8/2/2019,circle,44.95305527,-93.11475467
Oshkosh,WI,8/2/2019,light,44.01753441,-88.55902634
Salt Lake City,UT,8/2/2019,light,40.70446486,-111.8821388
Branford,CT,8/2/2019,cylinder,41.2864,-72.7956
Niagara,ON,8/3/2019,triangle,43.6827,-79.373
Anderson,CA,8/3/2019,disk,40.4458,-122.3548
Rock Island,IL,8/3/2019,cylinder,41.48769,-90.57226875
Deer Creek,MN,8/3/2019,circle,46.37,-95.3309
South Bend,IN,8/3/2019,cross,41.67504576,-86.27111065
Atlantic City,NJ,8/3/2019,unknown,39.37958071,-74.45456071
Wilmington,NC,8/3/2019,other,34.23837495,-77.87846769
Apopka,FL,8/3/2019,disk,28.69406628,-81.52357566
West Chester,OH,8/3/2019,formation,39.33755164,-84.40442295
West Chester,OH,8/3/2019,cylinder,39.33755164,-84.40442295
Huntington,WV,8/3/2019,oval,38.38493858,-82.41140524
West Chester,OH,8/3/2019,disk,39.33755164,-84.40442295
Louisville,OH,8/3/2019,fireball,40.8742,-81.2326
Woonsocket,RI,8/3/2019,circle,41.998,-71.4941
Vienna,WV,8/3/2019,sphere,39.328,-81.5255
Bondurant,IA,8/3/2019,sphere,41.7286,-93.4575
Harrisburg,MO,8/3/2019,light,39.1394,-92.4461
Willard,OH,8/3/2019,light,41.0894,-82.69805588
Lewis,IA,8/3/2019,sphere,41.3101,-95.0997
Livingston,TX,8/3/2019,sphere,30.72681818,-94.82404773
Brookneal,VA,8/3/2019,flash,37.0754,-78.9249
Idaho Falls,ID,8/4/2019,formation,43.47350769,-112.0036244
Vancouver,WA,8/4/2019,oval,45.65808015,-122.5849084
Yukon,OK,8/4/2019,cigar,35.53289048,-97.77063492
East Olympia,WA,8/4/2019,cigar,46.9676,-122.8357
Flushing,NY,8/4/2019,changing,40.75329127,-73.81827795
Midvale,UT,8/4/2019,circle,40.6092,-111.8819
Knoxville,TN,8/4/2019,circle,35.96156134,-83.98011529
Tampa,FL,8/4/2019,light,28.00681436,-82.47646101
Vienna,IL,8/4/2019,formation,37.4245,-88.8862
Mammoth Lakes,CA,1/5/2019,oval,37.587,-118.8422
Stratford,CT,1/15/2019,circle,41.21305351,-73.12902108
Hatfield,MA,3/14/2019,rectangle,42.3868,-72.6065
Centerville,IA,8/4/2019,cigar,40.7074,-92.9213
Samson,AL,8/4/2019,sphere,31.1155,-86.0462
Marcus Hook,PA,8/5/2019,circle,39.8431,-75.4662
Victoria,BC,8/5/2019,light,48.45668562,-123.383972
Norfolk,VA,8/5/2019,unknown,36.88938336,-76.26208236
Trinity,NC,8/5/2019,light,35.8032,-79.9827
New Braunfels,TX,3/20/2019,triangle,29.71726241,-98.09779007
Oshawa,ON,3/26/2019,other,43.92118698,-78.86515721
Punta Gorda,FL,3/27/2019,disk,26.91562632,-81.99651729
Mesquite,NV,3/30/2019,chevron,36.79222,-114.12792
Southgate,MI,4/13/2019,sphere,42.2061,-83.206
Naples,FL,4/15/2019,cigar,26.19318197,-81.73703022
Aliquippa,PA,8/5/2019,light,40.589,-80.3279
Greeneville,TN,8/5/2019,unknown,36.1816,-82.8417
Chatsworth,GA,8/5/2019,circle,34.7417,-84.7635
Whitsett,NC,8/5/2019,circle,36.0413,-79.6064
Amherst,NH,8/5/2019,formation,42.8706,-71.6124
Lake City,FL,8/5/2019,light,30.14528462,-82.63721731
Dover,NH,8/5/2019,light,43.18716429,-70.90978393
Hillsboro,OR,4/29/2019,formation,45.53464439,-122.9311911
Salt Lake City,UT,5/4/2019,circle,40.70446486,-111.8821388
Duluth,MN,5/5/2019,chevron,46.81722209,-92.12978895
El Paso,TX,5/6/2019,disk,31.79232818,-106.3748489
Twin Falls,ID,5/6/2019,oval,42.43310923,-114.5794446
Clanton,AL,5/8/2019,rectangle,32.83452903,-86.66456452
Twin Falls,ID,5/8/2019,light,42.43310923,-114.5794446
Bellingham,WA,5/10/2019,light,48.74688635,-122.4446201
Morgan City,LA,5/10/2019,cigar,29.69969231,-91.06912308
Cortland,OH,8/6/2019,circle,41.3598,-80.7148
Lakeland,FL,8/6/2019,disk,28.04722715,-81.95884978
Brigantine,NJ,8/6/2019,unknown,39.4079,-74.3665
Kodiak,AK,8/6/2019,changing,57.79,-152.4072
Blacksburg,VA,5/11/2019,fireball,37.25986911,-80.42627073
Hudson,NH,5/11/2019,triangle,42.7618,-71.4119
Aurora,IL,5/13/2019,circle,41.76135531,-88.31528938
Arvada,CO,8/6/2019,other,39.82714549,-105.110184
Richland Center,WI,8/7/2019,light,43.3775,-90.425
Lincoln,NE,8/7/2019,other,40.80091454,-96.67416753
Blytheville,AR,8/7/2019,disk,35.8711,-89.9046
Collierville,TN,8/7/2019,cigar,35.09080422,-89.65108133
Post Falls,ID,8/7/2019,disk,47.77771613,-117.0145032
New Orleans,LA,5/13/2019,other,29.96590338,-90.07844564
Berthoud,CO,5/14/2019,circle,40.2912,-105.0816
Myrtle Beach,SC,5/14/2019,oval,33.68315,-78.9395391
Montebello,CA,5/14/2019,other,34.0092,-118.1083
Brandon,SD,5/14/2019,circle,43.5873,-96.6029
Pawleys Island,SC,5/14/2019,formation,33.4425,-79.1588
Myrtle Beach,SC,5/14/2019,light,33.68315,-78.9395391
Belle Fourche,SD,5/14/2019,light,44.9453,-103.8032
Accomac,VA,5/14/2019,sphere,37.7022,-75.6592
Rio Rico,AZ,8/7/2019,formation,31.5017,-111.0688
Santa Barbara,CA,8/7/2019,flash,34.3170381,-119.7205414
Grand Terrace,CA,8/7/2019,cylinder,34.0339,-117.3136
Lake Orion,MI,8/7/2019,unknown,42.75110164,-83.27271393
Valdez,AK,8/8/2019,circle,61.4065,-145.667
Anderson,IN,8/8/2019,light,40.10373239,-85.67924319
Knoxville,TN,8/8/2019,triangle,35.96156134,-83.98011529
Bellingham,WA,8/8/2019,light,48.74688635,-122.4446201
New Port Richey,FL,8/8/2019,other,28.24270049,-82.67723901
Crestwood,KY,8/8/2019,other,38.3439,-85.4299
Parrish,FL,8/8/2019,sphere,27.5701,-82.3798
Whitefish,MT,7/12/2019,circle,48.4111,-114.3376
New Haven,CT,5/15/2019,light,41.31286253,-72.91803187
Moyock,NC,5/15/2019,light,36.4726,-76.1579
Apple Valley,CA,5/15/2019,cigar,34.53761649,-117.1731005
Middletown,VA,5/15/2019,disk,39.0255,-78.2696
Laguna Beach,CA,5/15/2019,unknown,33.55561757,-117.7857635
Perry,OK,5/15/2019,circle,36.3041,-97.2824
Safety Harbor,FL,8/8/2019,circle,28.0145,-82.6923
West Palm Beach,FL,8/8/2019,cross,26.70504529,-80.1351401
Saint Augustine,FL,8/8/2019,circle,29.8790313,-81.36659178
Pasadena,CA,8/8/2019,light,34.12998527,-118.1425735
Danville,IL,8/8/2019,light,40.15248,-87.649332
Ocean Isle Beach,NC,8/8/2019,light,33.9259,-78.4498
Aurora,IL,8/8/2019,teardrop,41.76135531,-88.31528938
Grand Terrace,CA,8/9/2019,cylinder,34.0339,-117.3136
Federal Way,WA,8/9/2019,triangle,47.30653738,-122.3429007
Gloversville,NY,8/9/2019,light,43.1313,-74.3571
Wysox,PA,5/16/2019,circle,41.7955,-76.3576
Middleton,WI,5/16/2019,disk,43.1184,-89.5207
Ashland City,TN,5/16/2019,oval,36.2833,-87.0121
Oak Island,NC,5/16/2019,fireball,33.9083,-78.0785
Lake Placid,FL,5/16/2019,disk,27.2419,-81.3564
Spokane,WA,5/16/2019,light,47.68357629,-117.3863311
Simpsonville,KY,5/16/2019,unknown,38.2238,-85.3603
Phoenix,AZ,8/9/2019,unknown,33.53538055,-112.04946
Macomb,MI,8/9/2019,cigar,42.65611841,-82.9233927
Aberdeen,WA,8/9/2019,flash,46.8841,-123.995
Lawton,OK,8/10/2019,light,34.63522412,-98.47288176
Timpson,TX,8/10/2019,unknown,31.8895,-94.4362
Fort Myers,FL,5/17/2019,circle,26.58139709,-81.84065303
Ponchatoula,LA,5/17/2019,other,30.4009,-90.3936
Fort Myers,FL,5/17/2019,egg,26.58139709,-81.84065303
Anderson,IN,5/17/2019,circle,40.10373239,-85.67924319
Lincoln,MI,5/17/2019,formation,44.7243,-83.455
Winchester,KY,8/10/2019,circle,37.96956667,-84.14765926
Charlotte,NC,8/10/2019,circle,35.20580084,-80.82639156
Columbia,MD,8/10/2019,unknown,39.20146013,-76.85523228
Augusta,GA,8/10/2019,unknown,33.45848327,-82.0411777
Palm Springs,CA,8/11/2019,fireball,33.80016512,-116.5353729
Brigantine,NJ,8/11/2019,cigar,39.4079,-74.3665
San Diego,CA,5/18/2019,changing,32.78722908,-117.1402677
Enfield,CT,5/18/2019,unknown,41.98440349,-72.55750349
Bethel Park,PA,5/18/2019,rectangle,40.3224,-80.0355
Fortson,GA,5/18/2019,egg,32.6337,-85.0055
Warwick,RI,5/18/2019,light,41.7156845,-71.42906015
Phoenix,AZ,8/11/2019,egg,33.53538055,-112.04946
Perkins,OK,8/11/2019,fireball,35.9145,-97.0521
Lubbock,TX,8/11/2019,other,33.54170374,-101.903819
Thompson's Station,TN,8/11/2019,cylinder,35.8172,-86.9395
Hudson,MA,8/11/2019,flash,42.3897,-71.5401
San Antonio,TX,8/12/2019,light,29.48886592,-98.47524044
Leominster,MA,8/12/2019,triangle,42.5244,-71.7657
Modesto,CA,8/12/2019,oval,37.66861324,-120.9944224
Zionsville,IN,5/13/2019,cigar,39.9831,-86.2876
Hogansville,GA,5/18/2019,fireball,33.1846,-84.9076
Spokane,WA,6/5/2019,other,47.68357629,-117.3863311
Lagrangeville,NY,5/18/2019,changing,41.6684,-73.7225
Martensville,SK,5/18/2019,light,52.2834,-106.6679
Lake Worth,FL,5/19/2019,unknown,26.60020571,-80.12513921
Fairfax,VA,5/19/2019,disk,38.84920832,-77.31409307
Bradenton,FL,5/19/2019,sphere,27.4609671,-82.5293294
West Des Moines,IA,8/12/2019,triangle,41.56389414,-93.77826066
Modesto,CA,8/12/2019,disk,37.66861324,-120.9944224
El Reno,OK,8/12/2019,unknown,35.4931,-97.9812
Alamogordo,NM,8/12/2019,formation,32.84206825,-105.970481
Las Cruces,NM,8/12/2019,light,32.32767214,-106.7548956
Pearce,AZ,8/12/2019,cigar,31.8682,-109.3315
Las Cruces,NM,8/12/2019,circle,32.32767214,-106.7548956
Seattle,WA,8/12/2019,chevron,47.60904639,-122.3260283
East Alton,IL,6/19/2019,sphere,38.8736,-90.0732
Independence,MO,6/20/2019,sphere,39.07880845,-94.38608575
Los Angeles,CA,6/29/2019,disk,34.05070709,-118.2799351
Fredericton,NB,6/30/2019,cigar,45.85845372,-66.63156283
gainesville,GA,7/2/2019,chevron,34.31321771,-83.80587491
Moran,MI,7/3/2019,formation,46.0727,-84.9547
